Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.988630807,-87.812829371,1,NARCOTICS,3,0,4,4
41.92627761,-87.742685853,1,OTHER OFFENSE,3,0,1,2
41.693465281,-87.637561949,1,CRIMINAL DAMAGE,6,0,5,3
41.939081232,-87.728277456,0,DECEPTIVE PRACTICE,1,0,1,3
41.924228431,-87.747117979,0,DECEPTIVE PRACTICE,3,0,1,3
41.929674746,-87.670739697,0,CRIMINAL DAMAGE,4,0,2,3
41.729260989,-87.56336036,1,WEAPONS VIOLATION,5,0,7,5
41.677109708,-87.625091031,0,BURGLARY,6,0,5,5
41.83835106,-87.707297083,1,NARCOTICS,1,0,1,4
41.783930736,-87.67038711,0,THEFT,7,0,0,3
41.87224693,-87.657223027,0,MOTOR VEHICLE THEFT,0,0,6,5
41.727762417,-87.682273817,1,BATTERY,6,0,5,6
41.795845325,-87.591227263,0,MOTOR VEHICLE THEFT,2,0,3,5
41.967852547,-87.662758305,0,BATTERY,4,0,2,6
41.808708043,-87.596815584,0,THEFT,2,0,3,3
41.793832664,-87.681994331,0,ASSAULT,7,0,0,6
41.882003426,-87.695233947,0,THEFT,1,0,1,3
41.936916343,-87.672098127,0,THEFT,4,0,2,3
41.886018055,-87.633937881,0,ARSON,0,0,6,7
41.766925938,-87.614082231,0,ASSAULT,2,0,3,6
41.893983593,-87.634677382,0,MOTOR VEHICLE THEFT,0,0,6,5
41.908430535,-87.638509526,0,BATTERY,0,0,6,6
41.881441785,-87.667837814,0,CRIMINAL SEXUAL ASSAULT,0,0,6,8
41.683978218,-87.615270364,0,OTHER OFFENSE,6,0,5,2
41.765033206,-87.599459636,1,ASSAULT,2,0,7,6
41.858985411,-87.714430296,1,WEAPONS VIOLATION,1,0,1,5
41.963647298,-87.699762457,0,THEFT,4,0,2,3
41.835486947,-87.651078289,0,THEFT,0,0,3,3
41.80171934,-87.630703621,1,OTHER OFFENSE,2,0,3,2
41.901607568,-87.625348532,1,BATTERY,0,0,6,6
41.902275555,-87.706772215,0,THEFT,1,0,1,3
41.773096197,-87.671327201,0,BATTERY,7,0,0,6
41.926110363,-87.761141912,0,THEFT,3,0,1,3
41.737771151,-87.534822726,1,HOMICIDE,5,0,7,10
41.884493583,-87.626980736,0,THEFT,0,0,6,3
41.706070186,-87.653645803,0,ASSAULT,6,0,5,6
41.961253689,-87.697657333,0,BURGLARY,4,0,1,5
41.768471889,-87.612913929,0,OTHER OFFENSE,2,0,3,2
41.966338818,-87.679114943,0,THEFT,4,0,2,3
41.653736007,-87.595407587,0,BATTERY,6,0,5,6
41.776025923,-87.607088217,0,CRIMINAL DAMAGE,2,0,3,3
41.862897867,-87.711224399,0,OTHER OFFENSE,1,0,1,2
41.852198325,-87.674377204,1,THEFT,0,0,6,3
41.963147421,-87.687861744,0,CRIMINAL TRESPASS,4,0,2,3
41.850517353,-87.627031661,0,THEFT,0,0,3,3
41.953958097,-87.701365724,0,BATTERY,4,0,1,6
