,PC1,PC2,PC3
Hour,0.0022621621214889095,-0.08431377386299847,-0.16805879751982689
Day_Num,0.00863442360605482,0.687894133938459,-0.14198545402379756
Month,-0.006775910029222729,-0.01244676469654379,-0.013447957688345568
Is_Weekend,0.009339960508848237,0.6906015604879817,-0.12837257233005103
Is_Night,-0.006291848758329055,0.15167900872865958,0.31460749437561597
Crime_Severity_Score,-0.04939957817116341,0.10036738277826236,0.5951470332104942
Latitude,0.4364552068257575,-0.009141320372036951,-0.06868771568421372
Longitude,-0.3282146249994289,-0.017814919703933084,-0.1943629830513989
District,0.4459875319688687,0.004470308002285976,0.10610750605043938
Ward,0.4197397242981622,-0.007938352110337672,-0.00658903075638618
Beat,0.44568577236306894,0.004539289846400542,0.10600181203233722
Community Area,-0.3479522283633059,0.007785224729258952,0.14659397847091082
Arrest,0.0010387744919435858,-0.003289210597394454,0.10516496835890798
Domestic,-0.06553879333263163,0.09461134996768765,0.6198186032958053
