Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
11,0,11,0,0,4,41.988630807,-87.812829371,16,41,1612,10,1,0,3.131646253927675,-1.6420456114906163,CRIMINAL DAMAGE
17,1,4,0,0,2,41.92627761,-87.742685853,25,31,2521,19,1,1,3.0343629889467847,-1.2288199824033066,OTHER OFFENSE
0,6,3,1,1,3,41.693465281,-87.637561949,22,21,2233,49,1,0,0.28464127521778454,2.365838121810566,THEFT
14,2,5,0,0,3,41.939081232,-87.728277456,17,30,1731,16,0,0,2.171833896024415,-1.03705764572472,BATTERY
11,4,4,0,0,3,41.924228431,-87.747117979,25,31,2522,19,0,0,3.1931511237611314,-0.29270226584489123,MOTOR VEHICLE THEFT
19,5,7,1,0,3,41.929674746,-87.670739697,19,32,1931,7,0,0,2.2915542575913483,1.4290817453206548,THEFT
7,1,12,0,0,5,41.729260989,-87.56336036,4,7,423,48,1,0,-2.7310440237315583,-1.219128386779934,WEAPONS VIOLATION
23,3,6,0,1,5,41.677109708,-87.625091031,5,9,522,53,0,0,-2.5343842038998683,-0.3601847265225067,MOTOR VEHICLE THEFT
7,6,6,1,0,4,41.83835106,-87.707297083,10,22,1032,30,1,0,0.20734885496829752,2.0027209328250866,BATTERY
12,3,7,0,0,3,41.783930736,-87.67038711,7,15,714,67,0,0,-1.4726999536238021,-0.6640517129067139,THEFT
16,3,2,0,0,5,41.87224693,-87.657223027,12,28,1231,28,0,0,0.5050215087249358,-0.5936658531901496,OTHER OFFENSE
0,5,10,1,1,6,41.727762417,-87.682273817,22,19,2221,72,1,1,-0.013954855458411368,2.4519839254271445,THEFT
7,1,2,0,0,5,41.795845325,-87.591227263,2,5,234,41,0,0,-2.414998826336917,-1.1749544598918769,BURGLARY
10,6,11,1,0,6,41.967852547,-87.662758305,19,46,1913,3,0,0,2.8110846483533387,2.04620592630006,BATTERY
4,2,12,0,1,3,41.808708043,-87.596815584,2,4,222,39,0,0,-2.2909340915720975,-0.6485558837799456,CRIMINAL DAMAGE
11,3,10,0,0,6,41.793832664,-87.681994331,9,16,932,63,0,1,-1.2704940505863358,-0.22389341359086204,BATTERY
17,3,11,0,0,3,41.882003426,-87.695233947,12,27,1222,27,0,0,0.7920114864037454,-0.7584942988714771,THEFT
