Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.974184283,-87.657756697,0,BATTERY,4,0,2
41.737467079,-87.643370887,0,CRIMINAL DAMAGE,6,0,5
41.896810209,-87.749161243,0,BATTERY,1,0,1
41.978276709,-87.759799852,0,CRIMINAL TRESPASS,3,0,4
41.880599603,-87.73628756,1,NARCOTICS,1,0,1
41.870526756,-87.627204283,0,THEFT,0,0,6
41.974953796,-87.701323687,0,THEFT,4,0,2
41.842695834,-87.61721984,0,MOTOR VEHICLE THEFT,2,0,3
41.87943306,-87.750667183,0,BATTERY,1,0,1
41.729544162,-87.551245472,1,THEFT,5,0,7
41.843962091,-87.623595224,0,THEFT,0,0,3
41.759578644,-87.56315198,0,BATTERY,5,0,7
41.889998232,-87.656551077,0,MOTOR VEHICLE THEFT,0,0,6
41.882394062,-87.627844798,0,THEFT,0,0,6
41.697696942,-87.718392205,0,CRIMINAL TRESPASS,7,0,0
41.895544537,-87.707385284,0,ASSAULT,1,0,1
41.935570003,-87.645194353,1,OBSCENITY,0,0,2
41.916057896,-87.703907527,0,BURGLARY,1,0,1
41.742134096,-87.556365508,0,CRIMINAL TRESPASS,5,0,7
41.745971272,-87.685244965,0,THEFT,7,0,0
41.801709383,-87.596697686,0,BATTERY,2,0,3
41.865724479,-87.661539409,0,BATTERY,0,0,6
41.9453367,-87.657675379,0,ASSAULT,4,0,2
41.94184758,-87.727269908,0,CRIMINAL TRESPASS,1,0,1
41.782550251,-87.741205533,0,BATTERY,7,0,0
41.934870683,-87.727063999,0,MOTOR VEHICLE THEFT,1,0,1
41.908430535,-87.638509526,0,BATTERY,0,0,6
41.929506909,-87.762081741,0,THEFT,3,0,1
41.68995741,-87.637460623,0,ASSAULT,6,0,5
41.706004609,-87.644018664,0,THEFT,6,0,5
41.860219578,-87.625012337,0,CRIMINAL DAMAGE,0,0,3
41.926019093,-87.752257232,1,CRIMINAL TRESPASS,3,0,1
41.86633391,-87.711774826,0,DECEPTIVE PRACTICE,1,0,1
41.898630668,-87.624110505,0,ASSAULT,0,0,6
41.78520202,-87.730276442,0,DECEPTIVE PRACTICE,7,0,0
41.890265589,-87.628015277,0,BATTERY,0,0,6
41.780235426,-87.615785042,0,BATTERY,2,0,3
41.692833841,-87.60431945,0,ASSAULT,6,0,5
41.997888422,-87.680484167,1,BATTERY,4,0,2
41.893469034,-87.632648229,0,THEFT,0,0,6
41.948196607,-87.678591008,0,THEFT,4,0,2
41.963070794,-87.655984213,0,THEFT,4,0,2
41.797939675,-87.600705307,0,THEFT,2,0,3
41.911401334,-87.650200666,0,MOTOR VEHICLE THEFT,0,0,6
41.880465647,-87.648833753,0,THEFT,0,0,6
41.696330149,-87.686380698,0,BURGLARY,6,0,5
41.736259984,-87.628068782,0,CRIMINAL DAMAGE,6,0,5
41.909796068,-87.67655887,0,THEFT,0,0,2
41.980780195,-87.666951533,0,BURGLARY,4,0,2
41.765804252,-87.609828047,1,OTHER OFFENSE,2,0,3
41.761450093,-87.609121908,0,ASSAULT,2,0,3
41.953601307,-87.644125465,0,BATTERY,4,0,2
41.761022052,-87.623201428,0,MOTOR VEHICLE THEFT,2,0,3
41.877565688,-87.684893829,0,BATTERY,1,0,1
41.772385734,-87.608192402,0,BATTERY,2,0,3
41.816818351,-87.655363145,0,BATTERY,2,0,0
41.794406612,-87.583931489,0,THEFT,2,0,3
41.655807747,-87.60396869,0,THEFT,6,0,5
41.94044868,-87.651081589,0,THEFT,4,0,2
41.743942588,-87.561250217,0,THEFT,5,0,7
41.950439315,-87.684027105,0,THEFT,4,0,2
41.905060731,-87.669135463,0,DECEPTIVE PRACTICE,0,0,2
41.922472066,-87.659577543,0,DECEPTIVE PRACTICE,0,0,2
41.943707672,-87.792559262,0,MOTOR VEHICLE THEFT,3,0,4
41.760104086,-87.562115767,1,ASSAULT,5,0,7
41.752261698,-87.657695732,0,ASSAULT,6,0,0
41.768709958,-87.623384245,0,THEFT,2,0,3
41.877878421,-87.733867359,0,THEFT,1,0,1
