Hour,Day_Num,Month,Crime_Severity_Score,Is_Weekend,Arrest,Primary Type,Temporal_Cluster
11,0,11,4,0,1,NARCOTICS,2
17,1,4,2,0,1,OTHER OFFENSE,3
0,6,3,3,1,1,CRIMINAL DAMAGE,0
14,2,5,3,0,0,DECEPTIVE PRACTICE,3
11,4,4,3,0,0,DECEPTIVE PRACTICE,3
19,5,7,3,1,0,CRIMINAL DAMAGE,2
7,1,12,5,0,1,WEAPONS VIOLATION,2
23,3,6,5,0,0,BURGLARY,1
7,6,6,4,1,1,NARCOTICS,0
12,3,7,3,0,0,THEFT,2
16,3,2,5,0,0,MOTOR VEHICLE THEFT,3
0,5,10,6,1,1,BATTERY,0
7,1,2,5,0,0,MOTOR VEHICLE THEFT,3
10,6,11,6,1,0,BATTERY,1
4,2,12,3,0,0,THEFT,2
11,3,10,6,0,0,ASSAULT,1
17,3,11,3,0,0,THEFT,2
10,5,12,3,1,0,THEFT,2
22,6,12,7,1,0,ARSON,1
10,4,3,6,0,0,ASSAULT,1
10,4,1,5,0,0,MOTOR VEHICLE THEFT,3
21,6,3,6,1,0,BATTERY,1
0,5,8,8,1,0,CRIMINAL SEXUAL ASSAULT,0
9,4,5,2,0,0,OTHER OFFENSE,3
1,3,9,6,0,1,ASSAULT,0
11,5,9,5,1,1,WEAPONS VIOLATION,1
4,3,10,3,0,0,THEFT,0
7,2,3,3,0,0,THEFT,3
8,2,1,2,0,1,OTHER OFFENSE,3
22,1,3,6,0,1,BATTERY,1
14,5,2,3,1,0,THEFT,3
7,3,10,6,0,0,BATTERY,0
16,4,6,3,0,0,THEFT,3
7,4,7,10,0,1,HOMICIDE,1
19,1,7,3,0,0,THEFT,2
10,4,10,6,0,0,ASSAULT,1
16,6,8,5,1,0,BURGLARY,1
23,5,2,2,1,0,OTHER OFFENSE,3
8,1,8,3,0,0,THEFT,2
17,1,9,6,0,0,BATTERY,1
1,5,10,3,1,0,CRIMINAL DAMAGE,0
4,5,8,2,1,0,OTHER OFFENSE,0
20,6,6,3,1,1,THEFT,3
17,4,11,3,0,0,CRIMINAL TRESPASS,2
17,4,6,3,0,0,THEFT,3
3,5,2,6,1,0,BATTERY,0
17,2,10,6,0,0,ASSAULT,1
