Hour,Day_Num,Month,Is_Weekend,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,Primary Type,Is_Night,TSNE1,TSNE2,Time_Period
11,0,11,0,4,41.988630807,-87.812829371,16,41,1612,10,1,0,NARCOTICS,0,2.3010137,0.39637572,Day (6AM-8PM)
17,1,4,0,2,41.92627761,-87.742685853,25,31,2521,19,1,1,OTHER OFFENSE,0,1.523014,1.572644,Day (6AM-8PM)
0,6,3,1,3,41.693465281,-87.637561949,22,21,2233,49,1,0,CRIMINAL DAMAGE,1,-3.079711,3.033688,Night (8PM-6AM)
14,2,5,0,3,41.939081232,-87.728277456,17,30,1731,16,0,0,DECEPTIVE PRACTICE,0,6.5878687,-7.830887,Day (6AM-8PM)
11,4,4,0,3,41.924228431,-87.747117979,25,31,2522,19,0,0,DECEPTIVE PRACTICE,0,13.073346,1.6665605,Day (6AM-8PM)
19,5,7,1,3,41.929674746,-87.670739697,19,32,1931,7,0,0,CRIMINAL DAMAGE,0,8.574277,10.100188,Day (6AM-8PM)
7,1,12,0,5,41.729260989,-87.56336036,4,7,423,48,1,0,WEAPONS VIOLATION,0,-2.4004214,0.09823432,Day (6AM-8PM)
23,3,6,0,5,41.677109708,-87.625091031,5,9,522,53,0,0,BURGLARY,1,-7.4365287,-0.8630902,Night (8PM-6AM)
7,6,6,1,4,41.83835106,-87.707297083,10,22,1032,30,1,0,NARCOTICS,0,0.8496045,4.344741,Day (6AM-8PM)
12,3,7,0,3,41.783930736,-87.67038711,7,15,714,67,0,0,THEFT,0,-2.0651727,-9.627874,Day (6AM-8PM)
16,3,2,0,5,41.87224693,-87.657223027,12,28,1231,28,0,0,MOTOR VEHICLE THEFT,0,0.9140388,-5.28688,Day (6AM-8PM)
0,5,10,1,6,41.727762417,-87.682273817,22,19,2221,72,1,1,BATTERY,1,-3.1386316,3.2400942,Night (8PM-6AM)
7,1,2,0,5,41.795845325,-87.591227263,2,5,234,41,0,0,MOTOR VEHICLE THEFT,0,-9.930195,-3.515012,Day (6AM-8PM)
10,6,11,1,6,41.967852547,-87.662758305,19,46,1913,3,0,0,BATTERY,0,6.5666056,7.363403,Day (6AM-8PM)
4,2,12,0,3,41.808708043,-87.596815584,2,4,222,39,0,0,THEFT,1,-9.021835,-6.9609957,Night (8PM-6AM)
11,3,10,0,6,41.793832664,-87.681994331,9,16,932,63,0,1,ASSAULT,0,-9.340904,4.9496384,Day (6AM-8PM)
17,3,11,0,3,41.882003426,-87.695233947,12,27,1222,27,0,0,THEFT,0,2.8772466,-12.461605,Day (6AM-8PM)
10,5,12,1,3,41.936916343,-87.672098127,19,32,1931,6,0,0,THEFT,0,7.465041,9.868347,Day (6AM-8PM)
22,6,12,1,7,41.886018055,-87.633937881,1,42,122,32,0,0,ARSON,1,-2.3482063,7.343438,Night (8PM-6AM)
10,4,3,0,6,41.766925938,-87.614082231,3,6,322,69,0,0,ASSAULT,0,-7.728652,-3.0349858,Day (6AM-8PM)
10,4,1,0,5,41.893983593,-87.634677382,18,42,1831,8,0,0,MOTOR VEHICLE THEFT,0,7.391668,-2.1063535,Day (6AM-8PM)
21,6,3,1,6,41.908430535,-87.638509526,18,27,1821,8,0,1,BATTERY,1,3.3436246,5.231175,Night (8PM-6AM)
0,5,8,1,8,41.881441785,-87.667837814,12,27,1224,28,0,0,CRIMINAL SEXUAL ASSAULT,1,2.7769506,10.039404,Night (8PM-6AM)
9,4,5,0,2,41.683978218,-87.615270364,5,9,532,53,0,0,OTHER OFFENSE,0,-4.781295,-8.397479,Day (6AM-8PM)
1,3,9,0,6,41.765033206,-87.599459636,3,5,324,69,1,1,ASSAULT,1,-1.622987,1.8579752,Night (8PM-6AM)
11,5,9,1,5,41.858985411,-87.714430296,10,24,1021,29,1,0,WEAPONS VIOLATION,0,1.0806239,4.304146,Day (6AM-8PM)
4,3,10,0,3,41.963647298,-87.699762457,17,33,1724,14,0,0,THEFT,1,7.0476537,-6.16627,Night (8PM-6AM)
7,2,3,0,3,41.835486947,-87.651078289,9,11,913,60,0,0,THEFT,0,-2.7265942,-7.5397305,Day (6AM-8PM)
8,2,1,0,2,41.80171934,-87.630703621,2,20,225,37,1,0,OTHER OFFENSE,0,-2.707502,0.46194,Day (6AM-8PM)
22,1,3,0,6,41.901607568,-87.625348532,18,42,1824,8,1,1,BATTERY,1,1.0796834,1.5607417,Night (8PM-6AM)
14,5,2,1,3,41.902275555,-87.706772215,11,26,1121,23,0,0,THEFT,0,3.9414613,12.896964,Day (6AM-8PM)
7,3,10,0,6,41.773096197,-87.671327201,7,16,726,67,0,1,BATTERY,0,-9.23287,4.739322,Day (6AM-8PM)
16,4,6,0,3,41.926110363,-87.761141912,25,30,2515,19,0,0,THEFT,0,13.539981,1.5087966,Day (6AM-8PM)
7,4,7,0,10,41.737771151,-87.534822726,4,10,424,46,1,0,HOMICIDE,0,-3.8451164,0.50663954,Day (6AM-8PM)
19,1,7,0,3,41.884493583,-87.626980736,1,42,111,32,0,0,THEFT,0,-0.81089437,-4.0825906,Day (6AM-8PM)
10,4,10,0,6,41.706070186,-87.653645803,22,21,2232,73,0,0,ASSAULT,0,-5.6453404,4.158567,Day (6AM-8PM)
16,6,8,1,5,41.961253689,-87.697657333,17,33,1724,16,0,0,BURGLARY,0,4.609361,7.8750877,Day (6AM-8PM)
23,5,2,1,2,41.768471889,-87.612913929,3,6,322,69,0,0,OTHER OFFENSE,1,-3.8592749,11.973515,Night (8PM-6AM)
8,1,8,0,3,41.966338818,-87.679114943,19,47,1911,4,0,0,THEFT,0,9.222639,-5.0164986,Day (6AM-8PM)
17,1,9,0,6,41.653736007,-87.595407587,5,10,533,54,0,1,BATTERY,0,-11.727988,3.0611625,Day (6AM-8PM)
1,5,10,1,3,41.776025923,-87.607088217,3,20,321,42,0,0,CRIMINAL DAMAGE,1,-3.4164922,10.420163,Night (8PM-6AM)
4,5,8,1,2,41.862897867,-87.711224399,10,24,1021,29,0,0,OTHER OFFENSE,1,3.4433115,11.537684,Night (8PM-6AM)
20,6,6,1,3,41.852198325,-87.674377204,10,25,1034,31,1,0,THEFT,1,1.5872493,4.281667,Night (8PM-6AM)
17,4,11,0,3,41.963147421,-87.687861744,19,47,1911,4,0,0,CRIMINAL TRESPASS,0,10.010157,-6.5638876,Day (6AM-8PM)
17,4,6,0,3,41.850517353,-87.627031661,1,3,131,33,0,0,THEFT,0,-9.056869,-10.011529,Day (6AM-8PM)
3,5,2,1,6,41.953958097,-87.701365724,17,33,1724,16,0,1,BATTERY,1,3.9801672,5.308787,Night (8PM-6AM)
17,2,10,0,6,41.882167028,-87.711044863,11,28,1123,27,0,0,ASSAULT,0,1.8084235,-3.2646682,Day (6AM-8PM)
17,3,5,0,3,41.771674133,-87.572421309,3,5,331,43,0,1,CRIMINAL DAMAGE,0,-6.467715,1.3216816,Day (6AM-8PM)
16,0,6,0,3,41.891990384,-87.611461502,18,42,1834,8,0,0,THEFT,0,10.979171,-5.144957,Day (6AM-8PM)
8,2,7,0,3,41.718652011,-87.666135538,22,19,2213,72,0,0,THEFT,0,-6.96873,4.8545036,Day (6AM-8PM)
19,5,5,1,5,41.748637183,-87.656418152,6,17,612,71,0,0,MOTOR VEHICLE THEFT,0,-7.6886253,6.7728386,Day (6AM-8PM)
20,6,8,1,7,41.751015284,-87.620816057,6,6,623,69,0,0,ROBBERY,1,-5.8781266,6.561057,Night (8PM-6AM)
23,2,9,0,3,41.873200953,-87.658923982,12,34,1231,28,0,0,THEFT,1,3.8176513,-12.641692,Night (8PM-6AM)
16,6,2,1,7,41.909283882,-87.773062964,25,29,2531,25,0,0,SEX OFFENSE,0,8.219505,4.965026,Day (6AM-8PM)
19,6,11,1,6,41.867234401,-87.641301791,1,28,124,28,0,0,BATTERY,0,-2.45413,7.364092,Day (6AM-8PM)
15,4,10,0,3,41.741950206,-87.721671014,8,18,834,70,0,0,THEFT,0,-0.999343,-10.415464,Day (6AM-8PM)
8,4,4,0,3,41.832071291,-87.616978684,2,4,211,35,0,0,CRIMINAL DAMAGE,0,-8.243037,-8.031736,Day (6AM-8PM)
10,3,7,0,5,41.749560291,-87.662205914,6,17,612,71,0,0,OFFENSE INVOLVING CHILDREN,0,-5.993784,-2.9009976,Day (6AM-8PM)
21,2,6,0,3,41.772292259,-87.657214289,7,17,724,67,0,0,THEFT,1,-1.8730688,-10.678878,Night (8PM-6AM)
